SAMPLE_ID	AGE	d13C	d18O	LITHIUM	MAGNESIUM	CALCIUM	MANGANESE	COBALT	COPPER	ZINC	STRONTIUM	BARIUM	AREA	BAY	STATION	DATE	MONTH	YEAR	DEPTH_SHALLOW	DEPTH_DEEP	TEMPERATURE	DO	SALINITY	TURBIDITY	DEPTH_SHALLOW_END	DEPTH_DEEP_END	TEMP_END	DO_END	SALINITY_END	TURBIDITY_END
Cleu_Dic034	2												2	180	170	6/2/2015	june	2015	0.0	1.7	30.7	9.8	0.4		0.3	1.9	28.8	7.4	0.7	
Cleu_Dic035	2												2	180	170	6/3/2015	june	2015	0.0	1.7	30.7	9.8	0.4		0.3	1.9	28.8	7.4	0.7	
Cleu_Dic036	0	-6.19	0.72	8.567745984	22085.58418	0.007111987	133.9291606	0.144625556	4.398838944	29.70976204	2347.013722	27.95150314	2																	
Cleu_Dic038	0	-7.62	0.65	7.8802757	17627.64678	0.010244664	64.25363737	0.896677682	17.57380842	23.90067701	1597.552537	31.45923249	2																	
Cleu_Dic039	1												2																	
Cleu_Dic040	1												2																	
Cleu_Dic041	0	-7.14	0.38	10.82308839	19118.7054	0.007827822	83.68784991	0.167196756	6.5620518	26.9717329	1972.731449	23.37151356	2																	
Cleu_Dic042	0	-7.57	-0.8	9.472244054	21500.5203	0.008000569	63.83892644	0.133334242	3.015922822	39.63876555	2091.856197	18.95334374	2																	
Cleu_Dic043	0												2	330	225	9/13/2015	sept	2015	0.2	1.2	26.7	11.0	7.0	16.0	0.6	1.0	24.1	7.8	7.0	18.0
Cleu_Dic044	0	-9.4	-0.59	6.71185114	20703.50353	0.005980818	173.524862	0.304459819	31.81855095	41.89270428	1562.327477	36.53857497	2	330	225	9/13/2015	sept	2015	0.2	1.2	26.7	11.0	7.0	16.0	0.6	1.0	24.1	7.8	7.0	18.0
Cleu_Dic045	0												2	330	225	9/13/2015	sept	2015	0.2	1.2	26.7	11.0	7.0	16.0	0.6	1.0	24.1	7.8	7.0	18.0
Cleu_Dic046	0	-6.97	-0.77	15.74890758	16859.72158	0.00793213	47.25457478	1.386761436	2.972298265	25.93488675	1928.796192	14.76646176	2																	
Cleu_Dic047	0												2	330	103	9/15/2015	sept	2015	0.50	1.30	28.20	7.60	4.90	13.00	0.40	1.20	27.50	5.70	3.20	9.00
Cleu_Dic048	0	-8.28	-0.52	6.637783535	32528.53572	0.008922525	158.4420499	0.40655584	122.8958525	37.58738948	1683.629775	35.13695432	2	330	103	9/15/2015	sept	2015	0.50	1.30	28.20	7.60	4.90	13.00	0.40	1.20	27.50	5.70	3.20	9.00
Cleu_Dic049	0												2	330	103	9/15/2015	sept	2015	0.50	1.30	28.20	7.60	4.90	13.00	0.40	1.20	27.50	5.70	3.20	9.00
Cleu_Dic050	0												2	330	103	9/15/2015	sept	2015	0.50	1.30	28.20	7.60	4.90	13.00	0.40	1.20	27.50	5.70	3.20	9.00
